name,brewery_type,city,temp,state,rating,Average Yearly Temp
Avondale Brewing Co,micro,Birmingham,77.0,Alabama,4.6,62.8
Brewpub In Planning - Birmingham,planning,Birmingham,77.0,Alabama,4.7,62.8
Ghost Train Brewing Co,micro,Birmingham,77.0,Alabama,4.6,62.8
Good People Brewing Co,micro,Birmingham,77.0,Alabama,4.7,62.8
Trim Tab Brewing,micro,Birmingham,77.0,Alabama,4.6,62.8
Band of Brothers Brewing Company,micro,Tuscaloosa,75.92,Alabama,4.8,62.8
Black Warrior Brewing Co.,micro,Tuscaloosa,75.92,Alabama,4.7,62.8
Druid City Brewing,micro,Tuscaloosa,75.92,Alabama,4.6,62.8
Below the Radar Brewing Co,brewpub,Huntsville,71.96,Alabama,4.3,62.8
Chandler's Ford Brewing LLC,planning,Huntsville,71.96,Alabama,4.9,62.8
Green Bus Brewing,brewpub,Huntsville,71.96,Alabama,4.9,62.8
InnerSpace Brewing Company,micro,Huntsville,71.96,Alabama,4.8,62.8
Mad Malts Brewery & Tap Room,micro,Huntsville,71.96,Alabama,4.7,62.8
Salty Nut Brewery,micro,Huntsville,71.96,Alabama,4.8,62.8
Straight to Ale,micro,Huntsville,71.96,Alabama,4.5,62.8
Yellowhammer Brewery,micro,Huntsville,71.96,Alabama,4.7,62.8
Big Beach Brewing Company,micro,Gulf Shores,82.94,Alabama,4.6,62.8
Bluewater Brewing Co,micro,Florence,69.08,Alabama,4.6,62.8
Haint Blue Brewing Company,contract,Mobile,82.94,Alabama,4.7,62.8
Serda Brewing Company,micro,Mobile,82.94,Alabama,4.6,62.8
Cheaha Brewing Co,brewpub,Anniston,75.92,Alabama,4.3,62.8
Cross-Eyed Owl Brewing Co.,micro,Decatur,69.98,Alabama,4.9,62.8
Fairhope Brewing Co,micro,Fairhope,82.94,Alabama,4.8,62.8
Main Channel Brewing Company,micro,Guntersville,73.94,Alabama,4.9,62.8
Old Black Bear Brewing,micro,Madison,46.4,Alabama,4.5,62.8
Rocket Republic Brewing Company,micro,Madison,46.4,Alabama,4.8,62.8
Red Clay Brewing Company,micro,Opelika,82.04,Alabama,4.8,62.8
